,word,definition
2428,tafia,to interfere to meddle in other people s affairs utafia
2429,gbe,you Iinterfere too much cf Engl interfere v mi arale
2430,taitai,describes the smell of corpses and of dog blood the i is not short here cf tataiata titaata I to be stretched straight and long used with the verb niε v Texts Uke keve arhuaro cf ta ɽ titaati salty fa it cuts tatadata it is salty sharp of smells e g of urine cf taitai
2431,te,an auxiliary verb Indicating r that something was going on or was in a certain state in the past but implying that the end of the action was not attained or that the state referred to is no longer existing ↄtema it was good but it is no longer so itewu J I was dying viz vb uhutu ni amu ῦ always when that illness attacked me This leads to the meanings nearly e g in itewu I nearly died and mis takenly utew εr eva nwa re enwa J you were mistaken in saying he is not there now that the action of the verb to which it is linked follows another action before imi ↄ v ↄtekpas I saw him before he had left imi Edεgbegbe v dtej axia I see him every day bofore he leaves
2432,te,to decorate t e decorate it ↄt e owa he is decorating the house ot egbe he is decorating himself the body t gbe mu f t
2433,teitei,imitates the beating of pulses generally with fear in the case of the tortoise leilei d iIs used in stories the i is long vw afiama
2434,tete,to save to be economical with something tet ze save it Ozo tet inya n iviↄ nws nin mi ekenay usε Ojo be economical with the yams I brought you so that they will last get a chance to last for five days I g
2435,te,to be contemptible to be useless utε nε v en uye na you are already use less in the state in which you are now
2436,tz,to urge somebody on to do something by flattering him or by acclamations ɣεt Be ru εe don t urge me on to do it e g for I shall be overtired
2437,tε,r to put in a file or row t bicka na n ifa ya y uvi sεse l arrange these chil dren so that they may be pro perly in a single file e g may be said by a teachern to claim as one s relative at Perhaps this should be a separ ate item t zo mu c tↄ ti to be famous but usually this is titi ti to be fat we na fεko ti this goat is gradually becoming fat ti to boil ame ti the water is beginning to boil ame
2438,ti,the water boils d
2439,ti,the ti to fly ahiave ti bird flew ti in t ihi to sneeze ot ihi he sneezed v zε
2440,ti,x to warm up liquid food s ups unw ῦe n atiɽi a warmed up soup to weld broken iron together ti emat na me weld this iron for me
2441,tia,to flatter itia dε don t flatter me any longer w
2442,t,to call ↄtie e he called me ti ebe to read ati εɽe he read it ti bo to curse juju in the meaning of to curse but v v this is not the worst way of cursing a man which is done with an exwae t ihε long i na to curse not very seriously at ih ma he cursed me also ↄt ihε ne he swore at him same as ti zbↄ v a ε ε mu εbↄ gbe t iko to call a meeting tie εzb to call to a lawsuit to sum mon n ati ε εzↄ who is called to a lawsuit defendant same as n agugwi vw gwi sxu nie n ↄti ↄ a z he who has called a man to a lawsuit plaintiff v
2443,stiobaεzo,to twist oti i e he twisted it to become be twisted ↄtiɣi it is twisted c tivitivitivi I tizitisi l otiɣici l
2444,tizitivi,this thread is twisted The word also describes matter congealed over a wound v iku L cf tizi t ihε cf tie t ihi J cf ti l
2445,tii,powerful harmonious of a unanimous shout of applause used with the verb we tiidigh i imitates the sound produced by the big em εdo drum used with kpe or
2446,wu,to despise ↄtila ῦe he despises me t ile l cf ta l IoI
2447,tine,very small tiny of babies and things a higher degree than xerhe ↄye tinf it s tiny t iri l df tA t ise cf ta
2448,titi,to be famous otetiti gbe v ↄye xerhe he was formerly very famous when he was young v ti r titiiti x noise made by Boras sus palms in the wind used with the verb kpe v uɽua his item has been contested by A who wanted to substitute
2449,dididididi,for it titiiti fat stout and at the same time short
2450,titititititi,imitates the sound produced by the small
2451,uke,drum used with the verbs kpe and ɽu ↄkp gre t he is beating it t v tiidighεy
2452,to,x to be hot of pepper to burn high of buming farm land to be active of an εbↄ or ihε i e quick in complyling with prayers and curses
2453,toba,in toba mu to stick to
2454,tobatoba,gumming together occurs iIn a magical formula only cf toba t obↄ added to the personal pronouns and at the same time followed by the possessive it conveys the idea of self mε t obↄ ε I myself we t obↄ ↄ you yourself or In commands t obↄ ɽuε t obↄ wuwε ɽu εe do it yourself l ɽ t obↄ ɽe he himself ma t ob ima we ourselves wa t ob uwa you yourselves iɽa t ob ifa they themselves ifa t ob ica awu εe they did it themselves cf obↄ
2455,toɣa,an interjection asking for the truth is it true really indeed The answer is
2456,ise,to pity it oha ɽ I pity him cf itoha Ll t ohoye f ta t okdi cf t A
2457,tota,to sit down to sit t to cf t
2458,to,to live long ↄt utↄv n ↄma Y he Lived a long good life uɽatↄ may you live long uɣpat kpε e if you live may it be long may you live long a mode of address to the ba of Benin and to chiefs t r to fell a tree v gbↄ special term referring to felling trees on the site chosen for a farm Iterat t noↄ toↄn iku erha ni gb ota cut those shrubs down with a matchet t to dig into the ground e g pots poles etc t o tↄ to dig into the ground the s only nasalised in the be ginning Iterat tons t n ↄ dibvi εsεse n am ukeu y ↄ dig them i holes deep and well so that we can put the yam poles in cf utdyots gwa to dig something out t X to be hot not of taste or the weather but of liquids or muetal ῦ Bnwaε ↄt gbe Dbe careful have sense it is very hot to roast ut inya ni nε have Ig you roasted that yam already inya n atↄε roasted yam cf inyats v ti rd
2459,ve,in t mu to lift wp to increase t ε i na mu Ilift this thing up t Egbe mu to Ilift body to be proud st Bg be
2460,mu,he is proud cf itε
2461,gbemus,to reopen a lawsuit by appeal e g ↄt mu he re opened the lawsuilt tol to itch obↄ t ↄl E my hand is itching me to scratch tal ↄr scratch it to cough in tj l ohuε t ↄta l c ta
2462,tu,to shout to cry for something as a complaint upazεtu dex ug akw εti lit if you cry continuously I hope you will stop an angry word in response to such a form of discontent to strike of the clock εgog isε
2463,mahetu,five o clock has not yet struck tu asε to spit ɣRqEtu asε ku
2464,dl,don t spit on mel splash me i e by accident but v gie cf tue I tua to pull strongly together things which are tied together tua eῦi n ugbae ni n ↄɣεrha pull those things you have tied strongly together so that they do not get loose stua ihε ni he tied that load tightly tua to be loud of human voice and drum stronger than la when referring to the voice it is used with ukpε beak tua kpε e ↄtua ukpe rharhaarha he spoke loudly w gboɽogboɽo tua to swell of corpse tua x to hasten to hurry ɣ tua inwina na don t hurry this work to be hurried of work etc not to be in a hurry inwina na tua
2465,gbe,this work is too much hurried i e and therefore hard to be serious A Biogr To take serious is ex pressed by mu gogoogo
2466,gbe,to take too high tue to ooze out to bleed esagiε yetue v nw na h the blood is still oozing out of this wound esagiε tue v egbe ῦε I am bleeding blood is coming out of my body to squeeze out viz the contents of the bowels of game tu ibi afave ni
2467,gsese,to dress one s hair of women oxuo na J atu eto this woman is dressing her hair tue to prepare medicine over a fire i e to fry it in a pan but without oil or lard fav uxudvu is nowadays used by the young people but it is not correct dxwahε text v le ca e t
2468,tuε,to visit a certain place to greet to salute koy ido Re Los tu ↄ koyↄ I have come to salute you cf otuε t uhu to stir up to disturb utug amε na you have disturbed this water by stirring up the dirt cf l uɣu z uRu t ule mu to start running at ule mu he has started running v rh ule
2469,tuo,re to descend to come down ↄtuo re nε v εɣε v ighera he had alrady come down by the time I passed by tuo re v od uxudu come down from above
2470,tubu,to have sexual inter course with used with direct object not decent w gu
2471,ve,ku ho u pron personal of the nd pers sgl abbreviated form ugb εe you killed him
2472,ugɣare,shall you come uba εzε F D list a tree Ochrocarpus africanus cf εzε I v oti
2473,ube,a women drum of varying length may be as long as feet beaten alternatively with a drumstick and the hand played during ugie and
2474,eho,a tree Sirombosia pustulaia
2475,ubi,the son of one among the
2476,ogiaves,a bad day u wedε
2477,ubi,pointed stick used by farmers for making the holes for yam sticks v gbe I ogha assgiε
2478,ubi,aslap gbe ubid a leopard like animal but smaller
2479,ubo,a creeper with a very thick stem fruit eaten by monkeys
2480,ubbrhε,stockings the word is not much used cf Yor
2481,ibↄsε,act of building cf ba x ubↄBε act of predicting prediction cf bↄ
2482,ububa,r a trce Vulex rivularis stocks for of fenders ka ɽε y ububa he put lit fixed him in the stocks
2483,ubudε,being numerous great number crowd ubuv εvo ita ya zade they were coming in crowds c bi
2484,udahae,coral bead strings about tied round the fore head worn by the Oba and some big chiefs cf εhae
2485,udasu,a small blue and red lizard said to be poisonous
2486,udazi,an attribute of Osa Osa n Udazi the meaning is not clear
2487,ude,enlarged spleen mainly as a babies disease visible swel ling in the abdomen movable a pinching feecling sleepiness and lack of appetite v ova name of the organ
2488,ude,advice ude n ubu ῦε e ma gbe the advice you have given me is very good cf ibude v bu
2489,udefiaghↄ,fallen into the world a man without any support backstay v oseɣe D atull orphan w de
2490,fi,fall break a tree Swariza fistuloides pro duces a seed which is used as soap by poor people v ev axuε J a long hanging coral necklace cf de gw xa
2491,udegboto,a kind of palm wine v exwexwe cf de gbe oto
2492,uderhu,fall upon I a big kind of hawk with white wing tips gives a whistling sound a man who has committed a rape cf de rhu ud oi from fried palm kernels grease cf Ibo ud
2493,udeni,name of a Bini village seat of an dxwahε shrine
2494,udi,x the oil palm FEiaesis guwneensis udi uxuvu a drink obtained from the oil palm the cut starts from the spot where the palm bunch begins no other part of the tree suffers lit palm of the top side this is the best kind of drink to be given as an offering to a god a kind of white water yam which is very long hence the appellation
2495,udia,tsetse fly udi eni h cnT i a big stinging
2496,udivε,courage cf di
2497,udigivε,being deep depth of divi ud dε thinness leanness cf ds
2498,udu,Lhver in udu n εko J udu of the abdomen lungs in udu n ohoyɣa the empty udu heart v kokodu ↄkadi
2499,ududu,lump udud ughe mote the tonel a lump I of a stone udud uῦε a lump of salt v ukp uῦSEdugie the better expression udud ucεD bo a lump of sugar ududu evaxuε a ball of soap nmative soap is sold in balls v oso cSↄ ε uduoho lo a tree with light wood Sterculia tragacantha
2500,udududi,also uded udi suddenly ↄde kii du udi he dashed against me all of a sudden unintention ally
2501,ufere,any instrument blown from one end fife bugle whistle the player is oluferm for whistle enwiso Engl may be used c Yor fere v ekperε flute i c an in strument played from the side
2502,ufiecε,act of clearing the bush c fie v ifie
2503,ufosε,end ewi re ↄma voH
2504,fose,things do not happen that have ῦε no end everything has an end cf fo
2505,ufbↄ,the mes senger of Ogi uwu the King of Death its head is in the middle of the body hands and feetissuing immediately from the head feet up and hands down ward it seizes sick people and carries them to εɽidi and it becomes visible to a man who is about to die if the patient is delirious it means that he is golng to be seized by it This is invariably regarded as fatal consequently when this is likely to happen the witch doctor is called in at once he dances in order to please ufↄ and I avert it from its prey Another name for it is uks n εfibi zee the messenger which the underworld has sent
2506,ufua,a kind of ikpε red yam but white
2507,uga,small vertical poles be tween the uhoho at eru yam stack the yams are tied to them by means of creepers and cane
2508,ugaga,two trees bLr delia maicrantha and Cuviera nigrescens F D List ogangan uga ε x act of serving e g for a wife to one s father in law e c edi ugade gifts made as part of that service for a wife Church service cf ga ugia ε cowries of the value of about bs d obsolete
2509,ugiavε,the frst Ishan speaking village on the Ekpoma Road six miles north of Eh ↄ
2510,ugie,twenty
2511,ugie,next occasion next time ugi fki the next market fki n ↄgbera the last market ɣade ugie n bↄde come at the next occasion i e at an indefinite time saild when there is no time to attend to a guest Any of the dba s ceremonies The prin cipal ugies are ugi ama ama is one of the ba s gods ugi azama for the dba s children ugi ovi ozuↄɽe at which titles are given ixurhε devoted to Otↄ e the ground ugi ↄ o a cycle of ugies opened by ami ↄɽo it consists of ugies devoted to the ba s an cestors which take place at in tervals of five days and which are called ugi iɽs orid n and ends with ugi erh ↄba the ugie made for the Oba s father after about three months After this period the annual ancestors festival eho seems to be celebrated in Benin After ehb there is according to one informant another cycle of ugies devoted to the royal an cestors which is called ugi ign and which again consists of ugi if s leading up to ugi erh ↄba After this i ec after about four months orhu is performed and an ugie called emobo This is followed by igwe the annual festival devoted to one s Head which is performed first by the dba then by his people After igwe the annual war procession
2512,isiokuo,was held no longer now which included egbala and amufi Then comes agwq the New Yam festival at the guae which is followed by the general practice of ihua glving new yam to the gods and finally agw ↄ εnε The order of these ugies is very doubtful and the col lected statements differ neither is their number complete
2513,ugietε,comparison d igiedi l ilrl
2514,ugiedε,act of burning blaze cf giε
2515,ugive,leaking cf gi
2516,ugo,a sort of red yam ikpε D which has gone wild v
2517,ogigha,twovillages distinguished in the following way Ugo n iyek orhi op the Ugo be rob hind the Ossiomo River and Ugo n iyek ikpoba the Ugo behind Ikpoba lying on the road to Agbon
2518,ugodε,m act of shouting songs accompanying the
2519,akaba,dances of the
2520,dwaheε,cult sung by the head dancers while the women dancers clap hands When the head dancers pause the women sing uke songs and both groups stamp their feet as accompaniment gbh uke cf go
2521,ugdgie,worship Akugbe cf g ugie
2522,ugdgd,r Bini name for the Sobo tribal marks a straight line leading from the middle of the forehead to the tip of the nose ug jg iyeke spine same as uv iyeke v uvi c g g ↄ g
2523,ugu,a tree Saccogloitis gabo nemsis its bark is pounded and mixed with palm wine in order to make it red ugu mu any na εssse the ugu has changed this wine very much
2524,ugu,vulture Common or Hooded V cf Yor igfi
2525,uguoↄmuaifia,lit you do not help an old man to cut it a tree with very soft wood Disco glypremna coloneura
2526,ugwe,lLd cover e g of a pot ugw εkpoki cover of leather box a tree Hanmoa klatneana ugw akpata cover of native harp besides the literal meaning a curved tuft of hair above the forehead worn by the dba and by all the chiefs as a sign of their rank also tuft of feathers on the head of some birds e awε and esikpoy o The latter meaning was disputed by A who said that osusu should be used for a tuft of feathers shade ugwow does not fit foot natural cutting or hollow with out water so narrow that both feet cannot be placed together in it there is one near the village of dgba c gwa
2527,ows,the not is contained in the high u v iya
2528,ze,a dance performed e g at second burials the dancers with rattles round their feet move in revolving circles side ways cf d ugba
2529,ugbadiyε,killer of fowls a disease of chickens the victims are sleepy first then giddy they spread their wings gasp and knock their heads on the ground watery discharge from the beak same as luku
2530,luku,dull cold weather is said to be mainly re sponsible for this disease
2531,ugbaɽo,x eye brow fore head face c f aɽo v
2532,uhaɽo,missile stone that is thrown
2533,ugbe,swelling of lower abdo men probably due to distended bladder ugb be writing utensils df gb ebe v ukeke
2534,ugbefε,side of body cf
2535,ef,bhair clipper scis sors this is the native Bini expression but wv alumagazi etuheru D cf ghe eto J
2536,ugbede,flogging dancing cf gbe
2537,ugbezaɽo,a tree iro caryon micraster the fruit called
2538,gbεezaɽo,when probably origin ally time because it is followed by the relative particle n or v in further there is ugbε so sometimes at times ugbε s ↄɣ ar owa at times he will be at home b perhaps w kee ugbr s xar owa perhaps he is at home cf ugbugbεhia
2539,ugbεkui,belt c gba
2540,eka,deplaced fonta nelle with a baby cf gbe here perhaps to push in foy
2541,erherhe,cork screw also ugbizi ugbezi ugbuzin c gbe ezn
2542,ugbo,farm ugb ↄgbↄ new farm gi a ɣari ugbo let us go to the farm v ogo
2543,ugbodoko,ugbodioko or lioko are also heard bone ugbodok ↄsa bone of chimpanzee a tree Randia dadantha its wood is very dur able v uve
2544,ugbogiofivi,age group at εɽivi Oc casionally carved in wood It is only considered as a kind of bogey and there is no belief in it jocular appellation for somebody who has lost his in cisor teeth cf ogie oɽivi L
2545,ugbore,W the shea butter tree Parkia biglobosa shea butter obtained from Hausa people ugb b a tree Kagelia africana its bark falls off in patches u rhua
2546,ugbↄxa,a tree bBombax buonopo ense
2547,ugbudia,tsetse killer fly killer cf gbe udia
2548,ugbugbe,x tree with scaffold on which victims of certain Bini sacrifices to the sun and the rain were crucified Cross in the Christian sense crosswise amu erha u gbu
2549,gbe,he is carrying the tree or stick crosswise so as to block the whole breadth of the path boys do so to stop their playmates overtaking them on the road
2550,ugbugbεhia,often ugbu gbε hia er iyas eva it is often that I go Lt reach there always imi ε u ghugbz hia v i ajari ugbo u are left without tone marks above ri ugbo is possibly in slow speech I see him always when I am going to the farm cf ugbε identical
2551,uɣa,a quadrangle in the guae where an ba is buried and has his shrine formerly each dba had his own quadrangle which was made after his death
2552,uvaε,difterence uɣa ε ↄna xi the difference is this u Eaε ni ɽa is that different cf l uɣaε U saɽa a village with mixed Jekri Sobo population on ornear the boundary of Warri Province uɣ ava thunderbolt be lieved to be thrown by Ogi uwu the King of Death i e the god of Thunder Yor ango D it is used in the
2553,awasε,that is kept on the shrine of Os I t is obtained by pouring four tins of oil into the hole where it has fallen down then it comes up and can be exhumed The uloko tree Iroko is believed to withstand the u ava while other trees are broken to pieces this is due to its importance for witches Ujw ava are therefore said to be found if uloko wood is sawed cf u a in uɣadva
2554,ava,axe uyEav ↄra an axe with a broad blade for merly used for splitting wood cf ugQava
2555,uɣadε,being dear i c expensive dearness pride in a bad sense cf ɣa
2556,uyaedε,same as exae act of dividing cf ɣa e
2557,uge,dances any performance show cf ɣe
2558,ujɣe,entrance of a village v
2559,agba,look body ɽm mirror glass but not vessell uyQ egb aɽo eye glass spectacles cf y e egbe
2560,ugede,look appearance ugɣee ɽuε m oha gbe your appearance is terrible e when a man is ill or angry or referring to a masked dress cf ɣe u ɣe
2561,uleded,day looker clock watch v utεɣε
2562,umuexε,ɽ name of a Bini village near kεhua through which the Bini people made their first contacts with Euro peans Gwatto a certain sib has its central area at Ujvbt their headman is the oh kii there i e the priest of Okii or Olokf Other members of the sib are found at J esse I ehe where there is also an hereditary priest and chief Oh
2563,skii,closed room in a Bini house with one or two entrances v rgwal J iku cf uɣal
2564,uwviva,different species kinds sorts ways uguɣa dↄba doↄɣ jre nwa Lt in a different way everyone is sensible every man has dif ferent ways of thought if something is interpreted in several ways cf uyaε ux udPb empty shell of a snail
2565,uɣhviyudu,stump of tree that is nearly level with the LALY ground also roots of trees swelling out of the ground w
2566,ezi,bow i shooting cf abↄ obↄ v ifedε ika i
2567,uhae,well uhae na ir ame A this well does not hold r r water uhae na s agba eha well is three layers deep
2568,uhaeso,asmall plank used as a pad when carrying yams whah εku the back
2569,uhaɽo,forehead cf εhae ato u ugbaɽo uhe L l lower end of a long object uh inya lower end of a yam uh ↄɣεdε do of a plantain cf uh erh D L uh erha lower part of a felled tree that is standing up right bottom of a wvessel uh axe bottom of a pot uh odo bottom of a mortar vulva anus uh erh a stick of firewood one end of which has caught fire also uw erh c uhe
2570,uhe,Iff Yor tones the hame occurs also in the morning greeting of a certain sib de la uhε o w εgbε er
2571,uhε,a village on the Bini Yoruba boundary uh wεve breathing breath cf hews
2572,uhi,law wegbe gbe very strict
2573,uhiage,x keeping up appearances struggling to recover one s health cf hia custom uhi na this law is e this the small of
2574,uhiɽi,a big kind of monkey N W Th baboon
2575,uhidviate,swelling of a whole limb uhiviaῦ obↄ ῦε na mu T oha gbe It the swelling of this my hand makes me afraid much cdf
2576,hivia,a trap for birds lime obtained from a creeper
2577,uhobo,the Sobo people
2578,uhoboriabe,the space between two main poles utdyoto J of ayam stack eru equals εkp ↄε uhoho equal I we
2579,uhoro,pawpaw uhor ebo thiεrhiε gbe Euro pean pawpaw a special kind of p is very good
2580,uhosa,a kind of leaf covered with pimples also called eb
2581,uhosa,and uhosa n ofi fi L N f osa uhued swelling not a whole imb uhueῦ eke n ↄxia ruε so tua gbgↄa goy the swelling at the place that pains you bulges out cf hue v hivia
2582,uhuki,an influence or power spirit which causes people to do things that are to their dis advantage and seem to be senseless Uhuki is said to be caused by ill treatment of or lack of consideration for one s wife or husband in the preceding reincarnation The actual cause seems to be the swearing uttered during one s previous re incarnation by the injured party against the offender Offences leading to this swearing and consequent uhuki are e g a man s not giving his wife food and clothes or not having inter course with her on the day when she purifies herself after men struation or a wife s promiscuous way of living so that the husband forsakes her or her omitting to mourn for her de ceased husband properly v xiε uhuki ↄkpokp εe uwhuki it is that is troubling him or her The trouble caused by uhuki may manifest itself in very different ways and In different degrees of intensity A man may refuse to marry and may hate women or even be temporarily impotent or mad with a woman it is believed to be the cause of frigidity and cer taln misdemeanours A sacrifice can bring them i e the uhukis to sense a doctor makes an Image representing the hus band or wife respectively of the preceding reincarnation and makes a sacrifice to it After wards the image is buried with the sacrifice ↄɽe uhuki he buried the uhuki The uhuki was said not to be the dead man or woman himself
2583,uhukpa,once ru εe uhukpa do it once and also at once at once ikek ↄre wamu bii
2584,hukpa,his bicycle broke at once
2585,uhudova,term sickness general uhudova lbH dε sickness is paining me I am ill cf emiadῦeε
2586,uhudu,x head it is believed to report to one s hi every evening about one s doings and it is given sacrifices gwε hence uhuu da bad head bad luck uhu u esi od head good luck an idiomatic expression is uhudu yay head takesforit you or he will get into hot water for it when scolding somebody for some mischief he has done in a proverb uhud ofɽibil head of corpse skull uhub
2587,elao,wooden sculptures representing heads forming part of the ancestral shrines v erha and iye in Bin houses The ba s and Ezymp s uhuῦ elao are of brass upside upward on top uhu εɽε on top of it uhuo εzε up stream uhuo
2588,oke,up hill uhuῦ owa top of house roof from out side v erhlirhudu D message in connection with
2589,gie,to send c uhuvova
2590,vrhrn,period of nine days eki uɣade v uhuBuɽi you should come with in nine days uhudu εgε not nasalised nine days from to day cf ihif
2591,ukata,straw hat usually εrh
2592,ukata,uke x top of a thing lying on the ground e g a load that has been put down or a tree lying on the ground ogwe v uhuBu mu R y uk εɽe L uke put it on top of it a pad used to raise women s hair in some styles of hair dressing e g okuku it was mostly made of itaxuε a stopper put into native guns in order to prevent the powder and charge from falling out it is made from rolled coco nut fibre the gun is charged as follows first the powder exae is put in then uke then
2593,igele,shot or efu bullet which is again followed by an uke a small round drum used by men
2594,uke,stamping in dancing v gbe uke pl ike x cross legged cripple porter at the guae cripples are dolng the service of porters at the guae because they are reliable they do not steal nor commit adultery at the riε harem because they cannot run away crooked in uk adε hook for picking fruit aɽe something hollow X tortoise shell als uk egwi lap when followed by
2595,egbe,body uk egbe mu ε nya uk egbe she or he took it on her his lap a baby e g
2596,ukeke,stick ukeke n aya
2597,gbgbe,stick for playing drum drum stick ukeke n aya bowa sticks for house building beams put on the walls in order to support the rafters n aya it which one takes ukek
2598,wvia,sticks of dvia two sticks knocked against each
2599,ukelu,there is no drumming at these dances the correct name is however ikpata J a wooden mallet piece of wood stuck through an iron cramp behind the door door bolt
2600,uki,r moon uki de ɽo the moon has hidden herself the moon is covered by clouds uki h em ota he the moon is carrying the even ing fufu the moon is coming out late in the night e g when it is full moon ukiotal even ing moon early moon When waxing and still small uki ↄgb new moon i e the very small waxing moon ovi agh εde meaning not clear it means perhaps makes the night bright like the day praise name of the moon when shining brightly uki ra ulki
2601,de,come while the moon is shining month cf aki ha uro ko ro Jbi bele vewae
2602,uko,calabash uk edↄl a pot or calabash where some
2603,itaxuε,is kept with water and red mud for the purpose of rubbing dalb the walls of a house uk εgbo calabash for holding water and other liquids uk axuε calabash used in taking a bath also uk ggb axuε v uwawa uk ev axuε calabash for holding soap
2604,ukobozo,also ukog obozo Latham s or Forest Francolin or bush fowl
2605,ukohudu,head supporter pillow cf ke uhu u
2606,ukoko,pipe
2607,ukoko,swelling on the back Something bulg ing out in ukok owεE ankle ukoko bↄ can be used instead of igu abↄ elbow v igwε I ukoko ɣ uk calabash used for storing medicines cf uko
2608,ukoni,kitchen at the women s side of the Bini house
2609,ukoti,hair pin ct
2610,ikoti,xX messenger uk ↄba messenger of the dba ukw
2611,ekd,attendant of an Jba or chief going in front of his master also supposed to be with the ihεs Olokd and J
2612,wahε,and Igbaɣ when they are travelling uk εb invisible mes senger of a god affecting offen ders against the god with sickness h man employed by a Native Court to lead litigants to a shrine in order to take an oath c man leading a proces sion of juju masqueraders He picks up anything that drops out of the masquerade dress uk usuεbↄ messenger of accompanying or leading juju same as uk εbↄ worry v kaε uk ɣ idiomatic I irre parable damage sma uks YSmH e D this damage cannot be recovered w also
2613,mu,m act of planting act of erecting the shrine of a god or of Erha at the second burial on the day when the arha ceremony is finished cf ka uk ↄῦε being foolish foolishness cf k ε uk oe D grazing of cattle c k wandering of a doctor in search of practice
2614,uku,a praise name of the dba cf Ibo uku v dba
2615,ukuasee,act of Inuring one self ukuav εnyε snake bite cf kua h whugb belt ukugb ovi a ueɽue o belt of small pulsing boils probably chronic inlammation of groin glands e due to syphilis
2616,ukuoki,r a piece of cloth or some leaves forming a round pad which one puts on the head when carrying loads pad for silencing doors
2617,ukuse,calabash rattle mostly used by women when dancing by men e g at the ohovo
2618,ugba,dance
2619,ukudε,act of playing df
2620,ku,εbε folder or lowerer title of a chief who carries the oba s εbE sword when the dba goes out he also hands the ada sword to the amada who is golng to carry it in front of the ba when εbε is used ada is left behind So he is in charge of both the ceremonial swords bε is raised only in presence
2621,ukpamɽo,here to lower εba
2622,ukpa,artificial light lantern cf urhukpa
2623,ukpabↄ,a wooden plate used to wash hands before eating fufu cf kpe abↄ
2624,ukpafε,hollow in the floor of Bini and Yoruba houses in the rooms called ikdii to which the rain falling through an opening in the roof is led cf the Roman piscina at the atrium ukpaf gbowe hollowalong the inside of the front part of
2625,odi,toothpick chewing stick ukpak εka tooth pick of Eka Ika people two trees viz Lonchocarpus griffo nianus and Hymenostygia afzlia c kpe ak v edia
2626,nukpaks,a dangerous disease called black tongue due to bowel complaints ezεgizεgi uw
2627,eko,diarrhoea of inside of abdomen there is a small swelling over the stomach and lack of appetite pain in the joints headache and no stool In the beginning there is a slight fever
2628,ukpe,two trees used as fire wood only ukpe n exwi black wu Phuwalodiscus wui jugatus ukpe n ↄfua white u Blighia sapida visible pulsation of heart palpitation
2629,ukpε,tip po int ukp
2630,afadd,tip of the tongue ukp ehↄ ear lobe ukp
2631,ukpzku,ukpo year
2632,ukpo,enwe tip of breast male and female ukp asoɽo point of a spear beak also ukp ahiad ε beak of a bird ukp ↄↄx beak of a fowl a style of hair dressing worn by the wives of an dba iloi there are said to be two different sub styles This ukp ↄxdↄx ↄ can be seen on the female attendants accompany ing the idol of the goddess Olo ku and Igbay ukpε r ɣodi a leaf used in composing charms very sweet used as a cough cure for children a hook thrown during ibako hunting by encircling an area of bush they are used in the areas of Isil and Iyek orhiↄd
2633,ukpukpo,every year ukpukp okpia na yaz ihana every year this man usually makes ihina the ordinmary sacrifice to one s tather the sentence implies that the man is very poor because he makes ihana only instead of
2634,eha,a female year or ukpo n ↄwee a male year the first expression means a mild year the second a year of bad luck and many deaths in the English of my informant a leap year the worship of the year is possibly of Ika origin cf e ne something raised altar same as ogiukpo dais where the odba or a chief recelves visitors couch bed araised nichein Binihouses ukp ek mud bed ukp erha wooden European bed modern usage Government road the point of comparison being either its being broad and smooth or perhaps its being cut out and therefore having high borders rank position relative to that of others ukpo n uye kpↄlo gbe the rank in which you are is very high lit great
2635,ukpogɣo,pl ikpiɣo a single cowrie many cowries ukpoy
2636,uzo,cowrie of antelope something white in the eye ball of the uzo antelope hence a disease of the eye the affected eve looks like that of uzo i e the middle of the eye ball has a white spot it impairs the sight considerably Not identical with aɽo n ↄs oze dJdf
2637,ixo,staff stick for walking or fighting
2638,ukpokpo,trouble
2639,ukpomobiε,the Black Bee eater and also name for all the sunbirds e g the Scarlet Breasted Sunbird a yellow bird smaller than ↄkpa has no nest but digs holes in the sides of pits ukp cloth ukp he cloth worn during menstruation
2640,ukpↄbia,a squirrel similar to uxdↄrhↄ but a little smaller ↄta is still smaller and axiexiε the smallest t lives in tree holes but it is not smoked out like axiεxiε its holes are covered with mud at night so that it is choked and can be taken out by means of uk adε vw uke it is eatable
2641,ukpↄlↄῦε,being large big size cf kpal
2642,ukpu,L cup tin ukpu enw gεmila cow milk tin a kind of round water yam white v igiofua
2643,ukpukpε,a kind of dance or physical training for men and boys accompanied by singing In tightly closed files the dancers quickly advance and retire perhaps originally a war dance it s now mostly danced before wrestling in order to attract others to join the match or when a chief who has obtained a title goes around the town in a procession in order to thank the dba and the chiefs
2644,ukputu,a tree Bosquica angolensis its latex looks like blood doctors rub their
2645,exwae,charm with it in order to make it unbreakable because the latex gums it together its leaf is greatly liked by goats but it intoxicates them and kills them if eaten in large quantities
2646,ukpudeedugie,a lump of salt found in salt bags as the re sult of dampness v ududu
2647,ulakpa,red soil used in house building where the mud is too black or too sandy it it mixed with ulakpa cf Yor il kpa
2648,uladε,sound of instruments bells rattles and any piece of Iron cf la
2649,ulelefe,dumb ant hill an ant hill without a cap or top ulelefe n ↄrhu
2650,erhu,cappedant hill the top or cap is shaped like an umbrella
2651,ule,running away cf ls
2652,uleko,a charm with a bell attached to it worn round the neck by pregnant women it is worn during the whole day but is especially important at meals thus the child in the womb is made to partake of the food it also prevents miscarriage ocf
2653,la,idiomatic word for a special sort of calabash used for drinking palm wine by the old people young people drink out of tumblers and by wine tappers for scooping the wine out of the big clay wine pot ax any u axe same as ope
